Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,275.350006,280.350006,259.230011,261.399994,243.810242,9188100
2020-03-04,290.000000,295.839996,282.209991,289.420013,269.944702,14533000
2020-03-05,281.600006,289.420013,279.940002,282.959991,263.919434,5908400
2020-03-06,275.420013,284.970001,271.899994,283.869995,264.768250,5361900
2020-03-09,264.459991,281.440002,259.239990,273.440002,255.040039,8070700
2020-03-10,279.720001,283.899994,272.500000,280.000000,261.158600,7366000
2020-03-11,274.760010,285.239990,273.260010,277.779999,259.088013,7744600
2020-03-12,260.000000,272.230011,250.000000,250.410004,233.559738,10496600
2020-03-13,260.989990,273.220001,242.270004,272.040009,254.833328,9308400
2020-03-16,243.919998,245.679993,223.949997,225.039993,210.806122,10303500
2020-03-17,230.820007,248.759995,228.289993,244.220001,228.772995,9642200
2020-03-18,225.750000,231.449997,200.190002,217.059998,203.330841,12917500
2020-03-19,216.979996,226.119995,208.940002,219.800003,205.897552,8065200
2020-03-20,223.179993,232.639999,203.460007,206.589996,193.523056,9364100
2020-03-23,202.039993,205.750000,187.720001,194.860001,182.535019,10654500
2020-03-24,202.139999,220.270004,199.000000,219.800003,205.897552,8894400
2020-03-25,219.089996,247.509995,216.000000,234.490005,219.658401,10014000
2020-03-26,234.029999,257.959991,232.300003,255.389999,239.236465,7517600
2020-03-27,242.940002,251.600006,238.240005,242.449997,227.114914,4879500
2020-03-30,242.639999,254.089996,242.639999,251.279999,235.386429,5329000
2020-03-31,243.479996,254.529999,243.000000,249.380005,233.606598,5450000
2020-04-01,238.690002,246.610001,235.440002,237.320007,222.309418,4548800
2020-04-02,235.300003,242.000000,226.029999,240.440002,225.232040,4636800
2020-04-03,238.320007,239.339996,227.270004,229.490005,214.974655,4650300
2020-04-06,240.000000,249.289993,235.119995,248.339996,232.632370,6365900
2020-04-07,259.809998,266.709991,246.539993,248.039993,232.351395,4984100
2020-04-08,247.690002,269.160004,246.259995,267.829987,250.889618,6390200
2020-04-09,265.000000,270.399994,261.600006,264.130005,247.423706,4923300
2020-04-13,262.059998,264.959991,258.179993,263.510010,246.842880,2964900
2020-04-14,269.000000,273.070007,267.000000,270.500000,253.390732,4778900
2020-04-15,276.329987,282.989990,270.679993,281.679993,263.863556,7841800
2020-04-16,283.440002,300.000000,280.010010,298.429993,279.554169,7738900
2020-04-17,300.989990,304.000000,287.100006,290.559998,272.181946,5857500
2020-04-20,285.299988,289.010010,281.269989,282.140015,264.294525,4072600
2020-04-21,274.950012,280.000000,273.250000,274.190002,256.847351,3977500
2020-04-22,279.579987,283.820007,276.709991,277.019989,259.498413,3663300
2020-04-23,279.059998,288.459991,278.540009,285.329987,267.282684,4420500
2020-04-24,287.290009,291.899994,284.000000,291.290009,272.865753,3265000
2020-04-27,293.209991,296.859985,290.630005,293.980011,275.385681,3706200
2020-04-28,298.000000,298.250000,285.619995,288.359985,270.121094,3862900
2020-04-29,292.000000,292.750000,286.100006,287.649994,269.455963,4258400
2020-04-30,286.649994,295.000000,285.519989,292.470001,273.971222,7631700
2020-05-01,288.390015,289.000000,279.600006,284.510010,266.514648,3526100
2020-05-04,284.489990,287.940002,282.109985,287.540009,269.352936,2894200
2020-05-05,289.959991,296.000000,287.290009,293.040009,274.505035,2501300
2020-05-06,295.100006,297.679993,288.440002,288.769989,270.505157,2579200
2020-05-07,291.059998,292.290009,284.519989,285.000000,266.973602,3162300
2020-05-08,289.489990,290.000000,285.660004,287.000000,268.847137,3200000
2020-05-11,285.559998,290.100006,285.260010,288.690002,270.430206,3490700
2020-05-12,291.769989,293.149994,287.700012,287.700012,269.502777,4214300
2020-05-13,284.489990,286.399994,275.559998,278.000000,260.416382,5474100
2020-05-14,275.929993,292.450012,275.640015,290.609985,272.228790,5704600
2020-05-15,292.410004,300.000000,290.720001,290.959991,272.556671,12182800
2020-05-18,298.480011,299.720001,292.019989,293.359985,274.804810,4015100
2020-05-19,290.739990,294.630005,288.880005,289.049988,270.767426,3059400
2020-05-20,292.899994,292.899994,286.700012,287.989990,269.774475,3200600
2020-05-21,286.040009,290.130005,284.929993,286.910004,268.762848,3604900
2020-05-22,287.299988,290.239990,284.790009,289.940002,271.601166,2922800
2020-05-26,296.500000,297.029999,292.500000,294.890015,276.238098,4567800
2020-05-27,297.420013,303.799988,290.799988,303.769989,284.556427,5618900
2020-05-28,305.950012,309.660004,303.290009,303.970001,284.743774,4387700
2020-05-29,304.720001,308.369995,300.850006,304.850006,285.568024,6251500
2020-06-01,304.019989,305.980011,300.559998,305.929993,286.579865,2894000
2020-06-02,305.579987,308.100006,301.730011,306.309998,286.935760,2756800
2020-06-03,307.850006,310.119995,302.739990,305.350006,286.036438,4360000
2020-06-04,303.179993,304.470001,294.290009,298.079987,279.226318,4374300
2020-06-05,304.000000,314.279999,300.500000,311.850006,292.125275,5554300
2020-06-08,308.640015,315.839996,307.929993,309.480011,289.905212,4635500
2020-06-09,309.899994,312.649994,307.329987,309.209991,289.652252,3061500
2020-06-10,308.940002,310.309998,302.859985,305.750000,286.411102,3296100
2020-06-11,303.359985,303.359985,280.799988,283.730011,265.783997,6638900
2020-06-12,290.649994,294.100006,278.700012,285.149994,267.114166,5416800
2020-06-15,278.019989,287.000000,273.709991,286.279999,268.172607,4494600
2020-06-16,295.440002,297.570007,287.440002,293.000000,274.467651,4245400
2020-06-17,295.100006,295.100006,291.230011,292.600006,274.092926,2538000
2020-06-18,290.429993,291.779999,286.600006,291.480011,273.043762,2926600
2020-06-19,294.429993,296.519989,290.910004,291.239990,273.993927,5172800
2020-06-22,289.790009,293.000000,286.260010,292.670013,275.339294,2174100
2020-06-23,294.010010,299.279999,291.070007,297.600006,279.977325,4023400
2020-06-24,293.989990,297.100006,285.570007,289.179993,272.055878,3399900
2020-06-25,288.279999,296.779999,286.059998,296.220001,278.679047,3112500
2020-06-26,295.140015,296.579987,285.820007,286.880005,269.892151,5043200
2020-06-29,288.450012,292.279999,286.619995,289.760010,272.601654,2356700
2020-06-30,288.570007,296.450012,287.660004,294.950012,277.484253,2932900
2020-07-01,295.829987,300.399994,295.239990,297.730011,280.099670,2303800
2020-07-02,300.500000,303.079987,297.179993,298.260010,280.598267,1971700
2020-07-06,303.000000,303.489990,299.329987,302.809998,284.878784,2395000
2020-07-07,300.660004,303.559998,295.950012,296.649994,279.083618,2075700
2020-07-08,297.350006,300.869995,295.679993,298.359985,280.692322,1987400
2020-07-09,295.100006,298.549988,287.500000,291.160004,273.918610,3061700
2020-07-10,294.239990,294.239990,287.100006,291.230011,273.984558,2391600
2020-07-13,292.089996,304.519989,291.769989,299.709991,281.962341,4263300
2020-07-14,297.809998,309.739990,296.709991,308.519989,290.250641,4234900
2020-07-15,301.119995,310.690002,298.660004,304.070007,286.064148,5116900
2020-07-16,305.010010,310.850006,303.160004,307.149994,288.961823,3844500
2020-07-17,309.089996,310.970001,306.250000,306.529999,288.378510,3016500
2020-07-20,306.790009,308.600006,302.380005,303.459991,285.490326,2375500
2020-07-21,305.029999,307.000000,303.109985,305.109985,287.042542,2340200
2020-07-22,304.859985,306.910004,301.809998,306.709991,288.547882,1935800
2020-07-23,308.200012,308.500000,301.269989,302.970001,285.029358,2367700
2020-07-24,303.329987,304.279999,299.230011,300.790009,282.978455,2415700
2020-07-27,298.429993,302.130005,297.369995,298.600006,280.918152,2060500
2020-07-28,297.890015,301.399994,297.209991,299.929993,282.169342,2257400
2020-07-29,301.459991,309.750000,300.000000,306.679993,288.519592,2672700
2020-07-30,301.679993,306.459991,298.890015,305.230011,287.155518,2205300
2020-07-31,303.440002,303.739990,298.049988,302.779999,284.850555,3913500
