Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,135.490005,137.229996,135.059998,136.190002,122.888206,2381900
2020-02-12,138.399994,139.940002,138.089996,139.589996,125.956100,3222000
2020-02-13,140.000000,140.500000,138.429993,139.720001,126.073456,3318800
2020-02-14,139.490005,139.619995,136.889999,137.990005,124.512405,2813400
2020-02-18,137.460007,138.570007,135.080002,136.580002,123.240105,3869700
2020-02-19,136.789993,137.210007,136.059998,136.860001,123.492783,2134900
2020-02-20,136.259995,138.889999,136.199997,136.929993,123.555916,2678200
2020-02-21,136.500000,137.440002,135.110001,137.210007,123.808594,2855600
2020-02-24,132.529999,133.860001,132.050003,132.169998,119.260834,4964800
2020-02-25,132.970001,133.139999,128.250000,129.000000,116.400452,4840200
2020-02-26,129.649994,130.990005,127.550003,128.250000,115.723717,3902500
2020-02-27,125.599998,128.529999,123.220001,123.269997,111.230118,7369000
2020-02-28,119.570000,124.239998,119.029999,124.239998,112.105385,8300700
2020-03-02,125.050003,127.879997,123.010002,127.599998,115.137207,6100200
2020-03-03,127.000000,129.559998,123.779999,124.379997,112.231705,6358100
2020-03-04,126.070000,127.440002,124.309998,127.400002,114.956734,5074700
2020-03-05,123.150002,124.849998,121.239998,121.970001,110.057091,6015300
2020-03-06,119.000000,121.849998,118.830002,121.410004,109.551773,5767900
2020-03-09,112.989998,112.989998,104.029999,104.070000,93.905373,8636200
2020-03-10,108.639999,109.059998,99.110001,106.489998,96.089027,8293200
2020-03-11,103.800003,104.750000,100.070000,100.690002,90.855522,6543600
2020-03-12,93.500000,94.279999,87.500000,92.260002,83.248901,10285900
2020-03-13,98.389999,99.910004,90.139999,99.639999,89.908066,8718600
2020-03-16,89.000000,105.849998,88.500000,93.410004,84.286560,9899000
2020-03-17,96.010002,100.440002,92.970001,100.199997,90.413368,7206100
2020-03-18,93.989998,102.949997,93.110001,100.120003,90.341194,6995100
2020-03-19,99.230003,104.400002,97.250000,103.010002,92.948921,6870800
2020-03-20,103.120003,103.989998,94.160004,95.500000,86.172432,7650300
2020-03-23,93.900002,96.239998,90.639999,91.849998,82.878937,6737500
2020-03-24,96.059998,102.029999,95.169998,101.339996,91.442032,7417100
2020-03-25,101.169998,108.500000,98.500000,104.669998,94.446808,6578100
2020-03-26,104.849998,110.970001,102.889999,110.500000,99.707382,6059600
2020-03-27,104.430000,109.639999,103.400002,105.440002,95.141594,5746500
2020-03-30,106.330002,112.839996,104.930000,111.709999,100.799194,5725600
2020-03-31,110.730003,116.910004,110.260002,116.040001,104.706291,8970800
2020-04-01,112.089996,116.750000,109.500000,111.349998,100.474350,6847000
2020-04-02,111.230003,118.519997,111.129997,116.739998,105.337898,8106500
