Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,102.959999,103.599998,102.510002,103.550003,94.216568,1991900
2020-02-18,104.029999,104.639999,103.519997,104.470001,95.053619,2298400
2020-02-19,104.500000,104.980003,104.160004,104.309998,94.908051,1873100
2020-02-20,104.260002,105.779999,104.099998,105.099998,95.626816,1755700
2020-02-21,104.230003,105.139999,103.809998,104.930000,95.472153,2465700
2020-02-24,101.669998,102.650002,101.120003,101.650002,92.487808,4177700
2020-02-25,101.949997,102.459999,98.099998,98.209999,89.357864,4140900
2020-02-26,98.889999,99.739998,96.580002,96.580002,87.874771,4108600
2020-02-27,94.339996,96.629997,92.629997,93.239998,84.835838,5546400
2020-02-28,90.820000,92.099998,89.080002,90.720001,82.542984,6789600
2020-03-02,91.500000,95.750000,91.010002,95.680000,87.055916,5188800
2020-03-03,96.269997,99.260002,92.489998,92.849998,84.480988,5114600
2020-03-04,94.709999,98.199997,94.430000,98.120003,89.275970,4269000
2020-03-05,94.919998,96.400002,93.320000,93.660004,85.217979,3980400
2020-03-06,90.309998,93.930000,90.080002,92.769997,84.408195,4760000
2020-03-09,85.089996,86.470001,78.000000,83.129997,75.637093,5205800
2020-03-10,86.230003,89.519997,84.629997,89.059998,81.032593,4974000
2020-03-11,86.410004,87.500000,83.110001,84.370003,76.765312,4422800
2020-03-12,78.250000,80.489998,75.010002,75.919998,69.679855,5814900
2020-03-13,80.820000,87.040001,78.190002,85.559998,78.527504,5711900
2020-03-16,75.809998,81.279999,74.870003,75.320000,69.129181,4825300
2020-03-17,76.900002,77.980003,70.279999,73.739998,67.679031,5774000
2020-03-18,68.129997,69.440002,58.720001,68.820000,63.163437,5784500
2020-03-19,67.519997,72.680000,62.099998,72.449997,66.495087,4599000
2020-03-20,73.860001,73.860001,64.470001,64.930000,59.593174,4540900
2020-03-23,63.830002,64.309998,56.419998,57.770000,53.021675,6096900
2020-03-24,61.639999,72.410004,61.169998,71.209999,65.357010,5155900
